#{"t_start": 1775638830.5313642, "env_id": "CarRacing-v3"}
r,l,t
-50.530035,1000,5.107528
-60.655738,1000,10.041776
-59.59596,1000,15.060809
-54.385965,1000,19.911996
-62.025316,1000,25.027444
-62.711864,1000,39.816558
-81.012658,1000,54.738223
-39.89071,1000,69.842136
-39.93994,1000,84.722863
-8.759124,1000,99.122138
85.064935,1000,113.699161
-64.028777,1000,128.310741
-116.211688,780,139.600499
-26.056338,1000,154.847339
-13.978495,1000,169.323717
-19.413919,1000,183.602091
-47.368421,1000,198.740302
-39.022222,919,212.00103
-6.137184,1000,227.206647
-21.052632,1000,241.750312
-24.731183,1000,255.977242
-31.818182,1000,270.796087
-27.33564,1000,285.212456
-17.857143,1000,300.279857
14.478114,1000,315.713566
-36.507937,1000,330.387705
-35.185185,1000,345.117979
70.0,1000,359.783154
46.757679,1000,374.533852
-25.795053,1000,389.560643
46.478445,303,394.209302
248.837209,1000,409.262163
